accident_year,accident_month,monthly_incident_count,monthly_total_cost,monthly_total_fatalities,monthly_total_injuries,monthly_total_barrels_lost,rolling_12_month_incidents,rolling_12_month_costs,incident_growth_pct,anomaly_status,highest_risk_operator,operator_total_incidents,operator_total_costs,operator_risk_rank,highest_risk_state,state_total_incidents,state_total_costs,state_risk_rank
2017,1,2,87228,,,0.0,374,164068031,-99.52,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2016,12,33,3502770,,,2158.1,415,173161626,-10.17,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2016,11,29,3733324,,,6950.670000000001,401,171675447,-10.17,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2016,10,33,10401128,3,5,8181.0499999999993,411,172526536,-10.17,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2016,9,31,77262737,,,13666.3,424,168549358,-10.17,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2016,8,47,8344540,,,554.82999999999993,434,111718090,-10.17,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2016,7,31,5923615,,,230.19,425,106709593,-10.17,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2016,6,34,10251942,,,508.67999999999995,434,111121065,-10.17,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2016,5,38,7011952,,,1075.6399999999999,436,106534561,-10.17,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2016,4,27,22036530,,,1095.3,435,253785694,-10.17,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2016,3,29,4935586,,,566.57999999999993,449,236220096,-10.17,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2016,2,40,10576679,,,5411.1000000000013,468,238450183,-10.17,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2016,1,43,9180823,,,3771.2399999999993,460,232842739,-10.17,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2015,12,19,2016591,,,478.29,462,253696042,1.76,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2015,11,39,4584413,,,1604.09,476,259093336,1.76,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2015,10,46,6423950,,,83.179999999999993,469,260526823,1.76,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2015,9,41,20431469,,,385.81,453,294059246,1.76,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2015,8,38,3336043,,,2614.0399999999995,450,280837274,1.76,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2015,7,40,10335087,,,434.75000000000006,448,285371256,1.76,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2015,6,36,5665438,1,,11122.62,441,278647728,1.76,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2015,5,37,154263085,,,2740.4,429,275966406,1.76,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2015,4,41,4470932,,,2738.14,431,143330311,1.76,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2015,3,48,7165673,,,375.11,436,146048867,1.76,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2015,2,32,4969235,,,269.35,440,158627901,1.76,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2015,1,45,30034126,,,59108.83,452,158082906,1.76,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2014,12,33,7413885,,,6011.59,454,131684524,13.22,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2014,11,32,6017900,,,3305.6099999999997,446,130251849,13.22,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2014,10,30,39956373,,,582.79000000000008,440,131949759,13.22,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2014,9,38,7209497,,,73.28,435,105847304,13.22,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2014,8,36,7870025,,,815.88,421,108603001,13.22,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2014,7,33,3611559,,,225.43,421,112115870,13.22,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2014,6,24,2984116,,,801.07,422,136352647,13.22,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2014,5,39,21626990,,,4355.98,427,135796617,13.22,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2014,4,46,7189488,,,497.62000000000006,435,138663278,13.22,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2014,3,52,19744707,,,4214.9500000000007,428,147158234,13.22,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2014,2,44,4424240,,,356.99000000000007,402,266849135,13.22,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2014,1,47,3635744,,,445.27000000000004,401,277539523,13.22,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2013,12,25,5981210,,,931.73,401,278525540,9.56,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2013,11,26,7715810,,,4401.5,408,277482474,9.56,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2013,10,25,13853918,,,117.42999999999999,416,286715133,9.56,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2013,9,24,9965194,,2,4479.8700000000008,414,276019639,9.56,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2013,8,36,11382894,,3,29846.07,423,269538714,9.56,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2013,7,34,27848336,,,15234.3,417,266328617,9.56,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2013,6,29,2428086,,,3289.73,410,277575670,9.56,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2013,5,47,24493651,,,708.68000000000006,408,278648609,9.56,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2013,4,39,15684444,,,92.309999999999988,389,255984497,9.56,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2013,3,26,139435608,1,,25825.399999999998,388,252678051,9.56,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2013,2,43,15114628,,1,220.88,396,122051787,9.56,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2013,1,47,4621761,,,449.89999999999992,385,113530363,9.56,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2012,12,32,4938144,,,8332.45,366,145247426,6.09,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2012,11,34,16948469,,,257.13,365,147366187,6.09,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2012,10,23,3158424,,,195.92000000000004,353,143138586,6.09,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2012,9,33,3484269,,,6795.86,359,142152935,6.09,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2012,8,30,8172797,,,252.51000000000002,352,153175534,6.09,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2012,7,27,39095389,,,4942.14,358,158501764,6.09,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2012,6,27,3501025,1,1,3776.24,362,263625211,6.09,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2012,5,28,1829539,,,94.27000000000001,362,265522433,6.09,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2012,4,38,12377998,,,988.61,358,267486715,6.09,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2012,3,34,8809344,2,3,1413.3199999999997,343,292423614,6.09,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2012,2,32,6593204,,,496.25000000000006,334,288831773,6.09,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2012,1,28,36338824,,,1702.56,344,286960887,6.09,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2011,12,31,7056905,,1,7100.2199999999993,345,273526547,-1.43,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
2011,11,22,12720868,,,9150.31,355,315687647,-1.43,NORMAL,ENTERPRISE CRUDE PIPELINE LLC,195,33144604,1,TX,1004,184753284,1
